restart	round	step	i	j	energy_i	energy_j	log_acceptance	accepted	walker_i_before	walker_j_before
0	0	5	0	1	4	3	3.3160096213293211	1	0	1
0	0	5	2	3	5	3	0.19392141905702934	1	2	3
0	1	10	1	2	3	6	-1.7010890074264928	0	0	3
0	2	15	0	1	3	3	0	1	1	0
0	2	15	2	3	6	5	0.096960709528514669	1	3	2
0	3	20	1	2	4	8	-2.268118676568657	0	1	2
0	4	25	0	1	2	3	-3.3160096213293211	0	0	1
0	4	25	2	3	4	5	-0.096960709528514669	0	2	3
0	5	30	1	2	3	4	-0.56702966914216424	1	1	2
0	6	35	0	1	1	3	-6.6320192426586422	0	0	2
0	6	35	2	3	5	8	-0.29088212858554402	1	1	3
0	7	40	1	2	4	2	1.1340593382843285	1	2	3
0	8	45	0	1	1	1	0	1	0	3
0	8	45	2	3	2	4	-0.19392141905702934	1	2	1
0	9	50	1	2	1	3	-1.1340593382843285	0	0	1
0	10	55	0	1	1	2	-3.3160096213293211	0	3	0
0	10	55	2	3	6	6	0	1	1	2
