cut	k	mask	rank_sum	max_rank_sum	entropy_nats	entropy_bits	max_entropy_bits	cost
0	1	1	1	1	0.69314718055994529	1	1	0
1	1	2	1	1	0.69314718055994529	1	1	0
2	1	4	1	1	0.69314718055994529	1	1	0
3	1	8	1	1	0.69314718055994529	1	1	0
4	1	16	1	1	0.69314718055994529	1	1	0
5	2	3	2	2	1.3862943611198906	2	2	0
6	2	5	2	2	1.3862943611198906	2	2	0
7	2	9	2	2	1.3862943611198906	2	2	0
8	2	17	2	2	1.3862943611198906	2	2	0
9	2	6	2	2	1.3862943611198906	2	2	0
10	2	10	2	2	1.3862943611198906	2	2	0
11	2	18	2	2	1.3862943611198906	2	2	0
12	2	12	2	2	1.3862943611198906	2	2	0
13	2	20	2	2	1.3862943611198906	2	2	0
14	2	24	2	2	1.3862943611198906	2	2	0
