restart	round	step	i	j	energy_i	energy_j	log_acceptance	accepted	walker_i_before	walker_j_before
0	0	5	0	1	2	2	0	1	0	1
0	0	5	2	3	7	7	0	1	2	3
0	1	10	1	2	2	2	0	1	0	3
0	2	15	0	1	2	2	0	1	1	3
0	2	15	2	3	2	7	-0.48480354764257333	1	0	2
0	3	20	1	2	2	6	-2.268118676568657	0	1	2
0	4	25	0	1	2	2	0	1	3	1
0	4	25	2	3	7	2	0.48480354764257333	1	2	0
0	5	30	1	2	2	2	0	1	3	0
0	6	35	0	1	2	2	0	1	1	0
0	6	35	2	3	2	14	-1.1635285143421761	0	3	2
0	7	40	1	2	2	2	0	1	1	3
0	8	45	0	1	2	2	0	1	0	3
0	8	45	2	3	6	7	-0.096960709528514669	0	1	2
0	9	50	1	2	2	2	0	1	0	1
0	10	55	0	1	2	2	0	1	3	1
0	10	55	2	3	2	14	-1.1635285143421761	1	0	2
0	11	60	1	2	2	7	-2.8351483457108211	0	3	2
0	12	65	0	1	2	2	0	1	1	3
0	12	65	2	3	2	2	0	1	2	0
0	13	70	1	2	2	2	0	1	1	0
0	14	75	0	1	2	2	0	1	3	0
0	14	75	2	3	2	7	-0.48480354764257333	1	1	2
0	15	80	1	2	2	2	0	1	3	2
0	16	85	0	1	2	2	0	1	0	2
0	16	85	2	3	2	2	0	1	3	1
0	17	90	1	2	2	2	0	1	0	1
0	18	95	0	1	2	2	0	1	2	1
0	18	95	2	3	6	2	0.38784283811405867	1	0	3
0	19	100	1	2	2	2	0	1	2	3
0	20	105	0	1	2	2	0	1	1	3
0	20	105	2	3	2	7	-0.48480354764257333	1	2	0
0	21	110	1	2	2	2	0	1	1	0
0	22	115	0	1	2	2	0	1	3	0
0	22	115	2	3	2	2	0	1	1	2
0	23	120	1	2	2	2	0	1	3	2
